0.11	1
0.12	1
0.13	1
0.14	1
0.15	1
0.16	1
0.17	1
0.18	1
0.19	1
0.2	1
0.21	1
0.22	1
0.23	1
0.24	1
0.25	1
0.26	1
0.27	1
0.28	1
0.29	1
0.3	1
0.31	1
0.32	1
0.33	1
0.34	1
0.35	1
0.36	1
0.37	1
0.38	1
0.39	1
0.4	1
0.41	1
0.42	1
0.43	1
0.44	1
0.45	1
0.46	1
0.47	1
0.48	1
0.49	1
0.5	0.999999
0.51	0.999999
0.52	0.999999
0.53	0.999999
0.54	0.999998
0.55	0.999998
0.56	0.999997
0.57	0.999996
0.58	0.999995
0.59	0.999994
0.6	0.999992
0.61	0.99999
0.62	0.999988
0.63	0.999985
0.64	0.999981
0.65	0.999977
0.66	0.999973
0.67	0.999967
0.68	0.999961
0.69	0.999954
0.7	0.999945
0.71	0.999935
0.72	0.999924
0.73	0.999912
0.74	0.999898
0.75	0.999882
0.76	0.999863
0.77	0.999844
0.78	0.999821
0.79	0.999796
0.8	0.999768
0.81	0.999738
0.82	0.999703
0.83	0.999666
0.84	0.999624
0.85	0.999579
0.86	0.99953
0.87	0.999475
0.88	0.999417
0.89	0.999352
0.9	0.999284
0.91	0.999208
0.92	0.999128
0.93	0.99904
0.94	0.998946
0.95	0.998844
0.96	0.998736
0.97	0.998619
0.98	0.998495
0.99	0.998362
1	0.998219
1.01	0.998067
1.02	0.997906
1.03	0.997735
1.04	0.997552
1.05	0.99736
1.06	0.997155
1.07	0.996939
1.08	0.996709
1.09	0.996467
1.1	0.996212
1.11	0.995944
1.12	0.995661
1.13	0.995362
1.14	0.99505
1.15	0.994723
1.16	0.994377
1.17	0.994018
1.18	0.993638
1.19	0.993242
1.2	0.992827
1.21	0.992396
1.22	0.991941
1.23	0.991469
1.24	0.990979
1.25	0.990463
1.26	0.989929
1.27	0.989373
1.28	0.988795
1.29	0.988191
1.3	0.987564
1.31	0.986913
1.32	0.986241
1.33	0.985539
1.34	0.98481
1.35	0.984059
1.36	0.983276
1.37	0.98247
1.38	0.981628
1.39	0.980765
1.4	0.979867
1.41	0.978945
1.42	0.977986
1.43	0.976995
1.44	0.975975
1.45	0.974916
1.46	0.97383
1.47	0.972705
1.48	0.971549
1.49	0.97035
1.5	0.969122
1.51	0.967847
1.52	0.966542
1.53	0.96519
1.54	0.963804
1.55	0.96238
1.56	0.960912
1.57	0.959398
1.58	0.957843
1.59	0.956249
1.6	0.954598
1.61	0.952913
1.62	0.951178
1.63	0.949394
1.64	0.947559
